frame_number,x,y,z,yaw
3119,41.64567184448242,284.5712890625,2.455796480178833,91.60765838623047
3121,130.10687255859375,192.12994384765625,2.200000047683716,-0.046478271484375
3332,131.3125,192.12918090820312,2.4508965015411377,-0.103912353515625
3336,132.99549865722656,192.1258087158203,2.450878381729126,-0.1630554050207138
3335,132.50987243652344,192.12696838378906,2.450852632522583,-0.1467285007238388
3337,133.52359008789062,192.12440490722656,2.4517629146575928,-0.180267333984375
3339,134.64022827148438,192.12071228027344,2.4536972045898438,-0.19110107421875
3341,135.7522735595703,192.1167755126953,2.4552066326141357,-0.190948486328125
3342,136.3055419921875,192.11483764648438,2.455598831176758,-0.1908263862133026
3344,137.49412536621094,192.1111602783203,2.4534711837768555,-0.2304687649011612
3346,138.8773651123047,192.1059112548828,2.4521992206573486,-0.280731201171875
3348,140.38491821289062,192.09857177734375,2.4528257846832275,-0.3104857802391052
3350,141.9578094482422,192.08993530273438,2.4538657665252686,-0.3272704780101776
3352,143.5664825439453,192.08062744140625,2.4546687602996826,-0.3378296196460724
3354,145.19859313964844,192.07164001464844,2.4551727771759033,-0.2919006049633026
3356,146.84922790527344,192.0673370361328,2.4554460048675537,-0.1658019870519638
3358,148.51588439941406,192.06532287597656,2.4556169509887695,-0.091796875
3360,150.12353515625,192.06393432617188,2.4575891494750977,-0.021148681640625
3362,151.67379760742188,192.06375122070312,2.4571144580841064,-0.010162352584302425
3364,153.17591857910156,192.0634002685547,2.458225727081299,0.015801573172211647
3366,154.5212860107422,192.06326293945312,2.4594578742980957,0.044119518250226974
3368,155.7573699951172,192.06350708007812,2.459104061126709,0.04634128510951996
3370,156.93228149414062,192.0637969970703,2.4582881927490234,0.04845979064702988
3372,158.06674194335938,192.06398010253906,2.457738161087036,0.038320690393447876
3374,159.1683807373047,192.06402587890625,2.4573287963867188,0.02691456861793995
3376,160.28512573242188,192.06419372558594,2.4559056758880615,-0.007598876953125
3378,161.4710693359375,192.0641632080078,2.455105781555176,-0.02355957217514515
3380,162.68710327148438,192.06369018554688,2.455437660217285,-0.01589966006577015
3382,163.89601135253906,192.06309509277344,2.4560928344726562,-0.009063720703125
3384,165.08392333984375,192.06256103515625,2.4564905166625977,-0.00433349609375
3386,166.2494354248047,192.06214904785156,2.456676721572876,-0.0010986329289153218
3388,167.39271545410156,192.06179809570312,2.4567525386810303,0.0009731419268064201
3390,168.51451110839844,192.06153869628906,2.456773042678833,0.0021534604020416737
3392,169.6165771484375,192.0613250732422,2.456721782684326,2.353719901293516e-05
3394,170.74305725097656,192.06134033203125,2.4555084705352783,-0.0265808068215847
3396,171.942138671875,192.06106567382812,2.454904317855835,-0.0361328125
3398,173.17245483398438,192.0605010986328,2.4553170204162598,-0.027862548828125
3400,174.3994140625,192.0598907470703,2.4559996128082275,-0.01409911923110485
3402,175.60458374023438,192.05931091308594,2.456469774246216,-0.007110595703125
3404,176.7859344482422,192.05882263183594,2.456688404083252,-0.0025329587515443563
3406,177.94386291503906,192.05845642089844,2.4567759037017822,0.00031019141897559166
3408,179.0726776123047,191.9987030029297,2.4564857482910156,-2.844848871231079
3410,180.17141723632812,191.8413848876953,2.456540584564209,-6.103428363800049
3412,181.2871856689453,191.6454315185547,2.455420970916748,-8.459573745727539
3414,182.4688262939453,191.4151153564453,2.4548513889312744,-10.110274314880371
3416,183.67672729492188,191.16371154785156,2.4553024768829346,-11.166947364807129
3418,184.87611389160156,190.9040985107422,2.4560132026672363,-11.82091236114502
3420,186.0533905029297,190.64337158203125,2.456453800201416,-12.222063064575195
3422,187.207275390625,190.38442993164062,2.45666766166687,-12.46879768371582
3424,188.30023193359375,190.0574188232422,2.456458568572998,-16.940378189086914
3426,189.1717529296875,189.47686767578125,2.455892562866211,-28.74575424194336
3428,189.87022399902344,188.63604736328125,2.455077648162842,-41.75434875488281
3430,190.51670837402344,187.59286499023438,2.453991413116455,-52.55553436279297
3432,191.09524536132812,186.4119873046875,2.454228401184082,-60.498958587646484
3434,191.59829711914062,185.16380310058594,2.4550535678863525,-65.81409454345703
3436,192.04171752929688,183.8988037109375,2.455873966217041,-69.1554946899414
3438,192.44415283203125,182.643798828125,2.456423759460449,-71.19086456298828
3440,192.8193359375,181.40919494628906,2.456726551055908,-72.41990661621094
3442,193.17263793945312,180.19825744628906,2.4568328857421875,-73.3813705444336
3444,193.49497985839844,179.0081787109375,2.4568979740142822,-74.35186767578125
3446,193.73287963867188,177.8353271484375,2.4566032886505127,-78.16416931152344
3448,193.844970703125,176.66995239257812,2.456709623336792,-82.22343444824219
3450,193.910888671875,175.52490234375,2.456796646118164,-84.9104995727539
3452,193.95249938964844,174.40138244628906,2.456807851791382,-86.65837097167969
3454,193.97950744628906,173.28790283203125,2.4563393592834473,-87.80670166015625
3456,193.99815368652344,172.11251831054688,2.4550492763519287,-88.63115692138672
3458,194.01011657714844,170.88388061523438,2.455030679702759,-89.1700439453125
3460,194.0175018310547,169.602294921875,2.454545497894287,-89.525634765625
3462,194.02162170410156,168.244140625,2.4546265602111816,-89.74797058105469
3464,194.0235137939453,166.88134765625,2.45556640625,-89.86217498779297
3466,194.0244140625,165.52317810058594,2.455876350402832,-89.92893981933594
3468,194.02511596679688,164.04722595214844,2.453237533569336,-90.01696014404297
3470,194.02462768554688,162.37452697753906,2.451788902282715,-90.07614135742188
3472,194.02305603027344,160.51658630371094,2.451359748840332,-90.10395050048828
3474,194.02088928222656,158.48361206054688,2.4513187408447266,-90.11398315429688
3475,194.0196990966797,157.40386962890625,2.45135235786438,-90.11541748046875
